Phi[deg],Theta[deg],dB(GainTotal)
0,0,2.10253
10,0,2.10253
20,0,2.10253
30,0,2.10253
40,0,2.10253
50,0,2.10253
60,0,2.10253
70,0,2.10253
80,0,2.10253
90,0,2.10253
100,0,2.10253
110,0,2.10253
120,0,2.10253
130,0,2.10253
140,0,2.10253
150,0,2.10253
160,0,2.10253
170,0,2.10253
180,0,2.10253
190,0,2.10253
200,0,2.10253
210,0,2.10253
220,0,2.10253
230,0,2.10253
240,0,2.10253
250,0,2.10253
260,0,2.10253
270,0,2.10253
280,0,2.10253
290,0,2.10253
300,0,2.10253
310,0,2.10253
320,0,2.10253
330,0,2.10253
340,0,2.10253
350,0,2.10253
360,0,2.10253
0,10,2.06888
10,10,2.06897
20,10,2.06083
30,10,2.04586
40,10,2.02625
50,10,2.00473
60,10,1.9843
70,10,1.9678
80,10,1.95757
90,10,1.95514
100,10,1.96098
110,10,1.97446
120,10,1.9939
130,10,2.01686
140,10,2.04044
150,10,2.06164
160,10,2.07771
170,10,2.08647
180,10,2.08651
190,10,2.07737
200,10,2.0596
210,10,2.03475
220,10,2.00525
230,10,1.97416
240,10,1.94486
250,10,1.92065
260,10,1.90429
270,10,1.89764
280,10,1.90136
290,10,1.91486
300,10,1.93635
310,10,1.96314
320,10,1.99203
330,10,2.01973
340,10,2.04321
350,10,2.06011
360,10,2.06888
0,20,1.99369
10,20,1.98435
20,20,1.94319
30,20,1.87505
40,20,1.78769
50,20,1.69148
60,20,1.59859
70,20,1.52163
80,20,1.47179
90,20,1.45669
100,20,1.4788
110,20,1.53491
120,20,1.61687
130,20,1.71343
140,20,1.8122
150,20,1.90143
160,20,1.97108
170,20,2.01349
180,20,2.02365
190,20,1.99946
200,20,1.94193
210,20,1.85546
220,20,1.74789
230,20,1.63031
240,20,1.51626
250,20,1.42021
260,20,1.35535
270,20,1.33097
280,20,1.35044
290,20,1.41035
300,20,1.50145
310,20,1.61079
320,20,1.7242
330,20,1.82849
340,20,1.91282
350,20,1.9694
360,20,1.99369
0,30,1.89364
10,30,1.86831
20,30,1.77607
30,30,1.62408
40,30,1.42507
50,30,1.1985
60,30,0.970984
70,30,0.774598
