"Freq [GHz]","dB(S(1,1)) []"
2,-4.46426518219052
2.1,-5.53721686228086
2.2,-6.55216634896117
2.3,-7.40715839497969
2.4,-8.0418657398198
2.5,-8.45495757447262
2.6,-8.69368434310111
2.7,-8.82772540951
2.8,-8.92369851723787
2.9,-8.9535079893076
3,-7.53123875853273
3.1,-5.90007915802644
3.2,-6.7908940500605
3.3,-7.20803739643553
3.4,-7.44110351531832
3.5,-7.60499996194243
3.6,-7.73545489705559
3.7,-7.86616709202428
3.8,-7.99614631469603
3.9,-8.09270349585635
4,-8.03090653096901
4.1,-7.4191296364313
4.2,-6.87804155496167
4.3,-7.80370268453801
4.4,-8.55857208983973
4.5,-9.06732616070822
4.6,-9.47037043524199
4.7,-9.82466202031453
4.8,-10.151771418893
4.9,-10.4599581232452
5,-10.7521176000598
